Bulls
1:Gurthro Steenkamp
2:Derick Kuun
3:Werner Kruger
4:Bakkies Botha
5:Victor Matfield
6:Deon Stegmann
7:Dewald Potgieter
8:Pierre Spies
9:Fourie du Preez
10:Morne Steyn
11:Bryan Habana
12:Wynand Olivier
13:Jaco Pretorius
14:Akona Ndungane
15:Zane Kirchner
16:Chilliboy Ralepelle
17:Frik Kirsten
18:Danie Rossouw
19:Pedrie Wannenburg
20:Heini Adams
21:Burton Francis
22:JP Nel
Reds
1:Greg Holmes
2:Sean Hardman
3:Dayna Edwards
4:Van Humphries
5:Adam Byrnes
6:Scott Higginbotham
7:Daniel Braid
8:Leroy Houston
9:Ben Lucas
10:Quade Cooper
11:Brando Vaalu
12:Berrick Barnes
13:Charlie Fetoai
14:Digby Ioane
15:Peter Hynes
16:Saia Faingaa
17:Laurie Weeks
18:Rob Simmons
19:Poutasi Luafutu
20:Will Genia
21:Anthony Faingaa
22:Mark McLinden
Highlanders
1:Jamie Mackintosh
2:David Hall
3:Clint Newland
4:Josh Bekhuis
5:Hayden Triggs
6:Adam Thomson
7:Alando Soaki
8:Steven Setephano
9:Jimmy Cowan
10:Daniel Bowden
11:Fetu'u Vainikolo
12:Johnny Leota
13:Jason Shoemark
14:Ben Smith
15:Israel Dagg
16:Jason Rutledge
17:Chris King
18:George Naoupu
19:Tim Boys
20:Sean Romans
21:Jayden Hayward
22:Kenny Lynn
Brumbies
1 :Nic Henderson
2:Stephen Moore
3:Guy Shepherdson
4:Ben Hand
5:Mark Chisholm
6:Julian Salvi
7:George Smith
8:Stephen Hoiles
9:Patrick Phibbs
10:Christian Lealiifano
11:Francis Fainifo
12:Stirling Mortlock
13:Adam Ashley-Cooper
14:Clyde Rathbone
15:Mark Gerrard
16:John Ulugia
17:Ben Alexander
18:Sitaleki Timani
19:Peter Kimlin
20:Josh Holmes
21:Tyrone Smith
22:Matt Toomua
Force
1:Pekahou Cowan
2:Tai McIsaac
3:AJ Whalley
4:Pat O'Connor
5:Nathan Sharpe
6:Tamati Horua
7:David Pocock
8:Richard Brown
9:Chris O'Young
10:Matt Giteau
11:Drew Mitchell
12:Josh Tatupu
13:Ryan Cross
14:Haig Sare
15:Cameron Shepherd
16:Luke Holmes
17:Troy Takiari
18:Tom Hockings
19:Matt Hodgson
20:James O'Connor
21:Nick Cummins
22:Dane Haylett-Petty
Blues
1:Tony Woodcock
2:Keven Mealamu
3:John Afoa
4:Kurtis Haiu
5:Anthony Boric
6:Justin Collins
7:Onosa'i Tololima-Auva'a
8:Chris Lowrey
9:Taniela Moa
10:Tasesa Lavea
11:Rene Ranger
12:Benson Stanley
13:Isaia Toe'ava
14:Anthony Tuitavake
15:Paul Williams
16:Tom McCartney
17:Charlie Faumuina
18:Dean Budd
19:Peter Saili
20:Chris Smylie
21:Jimmy Gopperth
22:Jamie Helleur
Lions
1:Heinke van der Merwe
2:Willie Wepener
3:Gert Muller
4:Anton van Zyl
5:Gerhard Mostert
6:Cobus Grobbelaar
7:Franco van der Merwe
8:Willem Alberts
9:Jano Vermaak
10:Earl Rose
11:Henno Mentz
12:Doppies La Grange
13:Jaque Fourie
14:Ashwin Willemse
15:Louis Ludik
16:Hans van Dyk
17:Lawrence Sephaka
18:Ligtoring Landman
19:Todd Clever
20:Chris Jonck
21:Andre Pretorius
22:Jannie Boshoff
Cheetahs
1:Wian du Preez
2:Adriaan Strauss
3:Bees Roux
4:Nico Breedt
5:David de Villiers
6:Heinrich Brussouw
7:Juan Smith
8:Frans Viljoen
9:Tewis de Bruyn
10:Meyer Bosman
11:Danwel Demas
12:Jacques-Louis Potgieter
13:Corne Uys
14:Bjorn Basson
15:Hennie Daniller
16:Richardt Strauss
17:Kobus Calldo
18:Wayne van Heerden
19:Hendro Scholtz
20:Sarel Pretorius
21:Fabian Juries
22:Piet van Zyl
Crusaders
1:Wyatt Crockett
2:Corey Flynn
3:Ben Franks
4:Brad Thorn
5:Ross Filipo
6:Kieran Read
7:Richard McCaw
8:Thomas Waldrom
9:Andrew Ellis
10:Colin Slade
11:Kade Poki
12:Tim Bateman
13:Casey Laulala
14:Jared Payne
15:Leon MacDonald
16:Jason MacDonald
17:Bronson Murray
18:Isaac Ross
19:George Whitelock
20:Khan Fotuali'i
21:Stephen Brett
22:Adam Whitelock
Chiefs
1:Sona Taumalolo
2:Hika Elliot
3:Ben May
4:Craig Clarke
5:Kevin O'Neil
6:Liam Messam
7:Tanerau Latimer
8:Sione Lauaki
9:Brendon Leonard
10:Stephen Donald
11:Sitiveni Sivivatu
12:Dwayne Sweeny
13:Richard Kahui
14:Lelia Masaga
15:Mils Muliaina
16:Aled de Malmanche
17:James McGougan
18:Toby Lynn
19:Colin Bourke
20:Toby Lynn
21:Mike Delany
22:Callum Bruce
Hurricanes
1:John Schwalger
2:Dane Coles
3:Neemia Tialata
4:Bryn Evans
5:Jason Eaton
6:Faifili Levave
7:Scott Waldrom
8:Rodney So'oialo
9:Alby Mathewson
10:Piri Weepu
11:Hosea Gear
