Blues
1:Tony Woodcock
2:Keven Mealamu
3:John Afoa
4:Kurtis Haiu
5:Anthony Boric
6:Jerome Kaino
7:Serge Lilo
8:Viliame Maafu
9:Alby Mathewson
10:Stephen Brett
11:Josevata Rokocoko
12:Benson Stanley
13:Isaia Toeava
14:Rene Ranger
15:Rudi Wulf
16:Tom McCartney
17:Charlie Faumuina
18:Filo Paulo
19:Peter Saili
20:Chris Smylie
21:Daniel Kirkpatrick
22:Paul Williams
Hurricanes
1:John Schwalger
2:Andrew Hore
3:Neemia Tialata
4:Michael Paterson
5:Jason Eaton
6:Nick Crosswell
7:Scott Waldrom
8:Victor Vito
9:Piri Weepu
10:Willie Ripia
11:Hosea Gear
12:Ma'a Nonu
13:Conrad Smith
14:Tamati Ellison
15:Cory Jane
16:Dane Coles
17:Jacob Ellison
18:Bryn Evans
19:Karl Lowe
20:Tyson Keats
21:Aaron Cruden
22:David Smith
Force
1:Nic Henderson
2:Pek Cowan
3:Matt Dunning
4:Sam Wykes
5:Nathan Sharpe
6:Matt Hodgson
7:David Pocock
8:Richard Brown
9:Brett Sheehan
10:Mark Bartholomeusz
11:Cameron Shepherd
12:Sam Harris
13:Ryan Cross
14:Dane Heylett-Petty
15:James O'Connor
16:Ben Whittaker
17:Tim Fairbrother
18:Richard Stanford
19:Ben McCalman
20:Chris O'Young
21:Mitchell Inman
22:Josh Tatupu
Brumbies
1:Ben Alexander
2:Stephen Moore
3:Guy Shepherdson
4:Mark Chisholm
5:Justin Harrison
6:Rocky Elsom
7:George Smith
8:Stephen Hoiles
9:Josh Valentine
10:Matt Toomua
11:Francis Fainifo
12:Christian Lealiifano
13:Stirling Mortlock
14:Pat McCabe
15:Adam Ashley-Cooper
16:Huia Edmonds
17:Salesi Ma'afu
18:Ben Hand
19:Mitchell Chapman
20:Patrick Phibbs
21:Tyrone Smith
22:Alfie Mafi
Cheetahs
1:Wian du Preez
2:Adriaan Strauss
3:WP Nel
4:Nico Breedt
5:David de Villiers
6:Heinrich Brussow
7:Juan Smith
8:Ashley Johnson
9:Tewis de Bruyn
10:Naas Olivier
11:Jongi Nokwe
12:Meyer Bosman
13:Corne Uys
14:Lionel Mapoe
15:Riaan Viljoen
16:Ryno Barnes
17:Coenie Oosthuizen
18:Walti Vermeulen
19:Frans Viljoen
20:Sarel Pretorius
21:Sias Ebersohn
22:Danwel Demas
Bulls
1:Gurthro Steenkamp
2:Gary Botha
3:Werner Kruger
4:Danie Rossouw
5:Victor Matfield
6:Deon Stegmann
7:Pedrie Wannenburg
8:Pierre Spies
9:Fourie du Preez
10:Morne Steyn
11:Francois Hougaard
12:Wynand Olivier
13:Jaco Pretorius
14:Gerhard van den Heever
15:Zane Kirchner
16:Bandise Maku
17:Bees Roux
18:Flip van der Merwe
19:Derick Kuun
20:Heini Adams
21:Jacques-Louis Potgieter
22:Stephan Dippenaar
Crusaders
1:Ben Franks
2:Tii Paulo
3:Owen Franks
4:Sam Whitelock
5:Isaac Ross
6:Kieran Read
7:George Whitelock
8:Thomas Waldrom
9:Andrew Ellis
10:Daniel Carter
11:Zac Guildford
12:Tim Bateman
13:Robert Fruean
14:Jared Payne
15:Colin Slade
16:Quentin MacDonald
17:Peter Borlase
18:Brad Thorn
19:Jonathan Poff
20:Kahn Fotuali’i
21:Adam Whitelock
22:Sean Maitland
Highlanders
1:Jamie Mackintosh
2:Jason Rutledge
3:Clint Newland
4:Josh Bekhuis
5:Tom Donnelly
6:Adam Thomson
7:Alando Soakai
8:Nasi Manu
9:Jimmy Cowan
10:Matthew Berquist
11:James Paterson
12:Jayden Hayward
13:Jason Shoemark
14:Ben Smith
15:Israel Dagg
16:Jason MacDonald
17:Chris King
18:Hayden Triggs
19:John Hardie
20:Sean Romans
21:Michael Hobbs
22:Fetu'u Vainikolo
Reds
1:Ben Daley
2:Sean Hardman
3:Laurie Weeks
4:Adam Byrnes
5:Van Humphries
6:James Horwill
