Chiefs
1:Sona Taumalolo
2:Aled de Malmanche
3:Nathan White
4:Craig Clarke
5:Romana Graham
6:Liam Messam
7:Tanerau Latimer
8:Colin Bourke
9:Brendon Leonard
10:Stephen Donald
11:Sitiveni Sivivatu
12:Callum Bruce
13:Richard Kahui
14:Lelia Masaga
15:Mils Muliaina
16:Vern Kamo
17:Ben Afeaki
18:Callum Retallick
19:Luke Braid
20:Junior Poluleuligaga
21:Mike Delany
22:Dwayne Sweeney
Crusaders
1:Wyatt Crockett
2:Tii Paulo
3:Owen Franks
4:Brad Thorn
5:Isaac Ross
6:Richie McCaw
7:George Whitelock
8:Kieran Read
9:Kahn Fotuali’i
10:Daniel Carter
11:Zac Guildford
12:Ryan Crotty
13:Robert Fruean
14:Sean Maitland
15:Jared Payne
16:Corey Flynn
17:Ben Franks
18:Sam Whitelock
19:Thomas Waldrom
20:Willi Heinz
21:Adam Whitelock
22:Colin Slade
Waratahs
1:Benn Robinson
2:Tatafu Polota-Nau
3:Al Baxter
4:Dean Mumm
5:Kane Douglas
6:David Dennis
7:Phil Waugh
8:Wycliff Palu
9:Luke Burgess
10:Daniel Halangahu
11:Drew Mitchell
12:Berrick Barnes
13:Tom Carter
14:Lachlan Turner
15:Sosene Anesi
16:Damien Fitzpatrick
17:Sekope Kepu
18:Will Caldwell
19:Ben Mowen
20:Josh Holmes
21:Kurtley Beale
22:Rob Horne
Lions
1:Heinke van der Merwe
2:Hannes Franklin
3:Kevin Buys
4:Franco van der Merwe
5:Willem Stoltz
6:Cobus Grobbelaar
7:Derick Minnie
8:Todd Clever
9:JP Joubert
10:Carlos Spencer
11:Wandile Mjekevu
12:Doppies La Grange
13:Walter Venter
14:Tonderai Chavhanga
15:Earl Rose
16:Charles Emslie
17:JC Janse van Rensburg
18:Jacques Lombaard
19:Robert Kruger
20:Jano Vermaak
21:Burton Francis
22:Wigan Pekeur
Brumbies
1:Ben Alexander
2:Stephen Moore
3:Salesi Ma'afu
4:Ben Hand
5:Mark Chisholm
6:Rocky Elsom
7:George Smith
8:Stephen Hoiles
9:Josh Valentine
10:Matt Giteau
11:Francis Fainifo
12:Christian Lealiifano
13:Stirling Mortlock
14:Pat McCabe
15:Adam Ashley-Cooper
16:Huia Edmonds
17:Guy Shepherdson
18:Justin Harrison
19:Mitchell Chapman
20:Patrick Phibbs
21:Matt Toomua
22:Tyrone Smith
Sharks
1:Tendai Mtawarira
2:Bismarck du Plessis
3:John Smit
4:Steven Sykes
5:Johann Muller
6:Jacques Botes
7:Willem Alberts
8:Ryan Kankowski
9:Ruan Pienaar
10:Andy Goode
11:JP Pietersen
12:Riaan Swanepoel
13:Adrian Jacobs
14:Odwa Ndungane
15:Stefan Terblanche
16:Craig Burden
17:Jannie Du Plessis
18:Alistair Hargreaves
19:Jean Deysel
20:Keegan Daniel
21:Rory Kockott
22:Waylon Murray
Bulls
1:Gurthro Steenkamp
2:Gary Botha
3:Werner Kruger
4:Danie Rossouw
5:Victor Matfield
6:Derick Kuun
7:Dewald Potgieter
8:Pierre Spies
9:Fourie du Preez
10:Morne Steyn
11:Francois Hougaard
12:Wynand Olivier
13:Stephan Dippenaar
14:Gerhard van den Heever
15:Zane Kirchner
16:Bandise Maku
17:Rossouw de Klerk
18:Flip van der Merwe
19:Deon Stegmann
20:Jacques-Louis Potgieter
21:Jaco van der Westhuyzen
22:Pedrie Wannenburg
Highlanders
1:Jamie Mackintosh
2:Jason MacDonald
3:Chris King
4:Josh Bekhuis
5:Tom Donnelly
6:Tim Boys
7:Alando Soakai
8:Steven Setephano
9:Sean Romans
10:Matthew Berquist
11:Fetu'u Vainikolo
12:Jason Shoemark
13:Kendrick Lynn
14:Ben Smith
15:Israel Dagg
16:Jason Rutledge
17:Bronson Murray
18:Hayden Triggs
19:John Hardie
20:Scott Cowan
21:Robbie Robinson
22:James Paterson
Stormers
1:Wicus Blaauw
2:Tiaan Liebenberg
3:Brok Harris
4:Anton van Zyl
5:Andries Bekker
6:Schalk Burger
7:Francois Louw
8:Duane Vermeulen
9:Dewaldt Duvenhage
