Highlanders
1:Jamie Mackintosh
2:Jason Rutledge
3:Clint Newland
4:Josh Bekhuis
5:Hayden Triggs
6:Adam Thomson
7:John Hardie
8:Steven Setephano
9:Jimmy Cowan
10:Robbie Robinson
11:James Paterson
12:Michael Hobbs
13:Kendrick Lynn
14:Ben Smith
15:Israel Dagg
16:Jason MacDonald
17:Bronson Murray
18:Joe Tuineau
19:Tim Boys
20:Sean Romans
21:Jason Shoemark
22:Fetu'u Vainikolo
Lions
1:JC Janse van Rensburg
2:Hannes Franklin
3:Ross Geldenhuys
4:Nico Luus
5:Franco van der Merwe
6:Cobus Grobbelaar
7:Derick Minnie
8:Todd Clever
9:Jano Vermaak
10:Carlos Spencer
11:Tonderai Chavhanga
12:Doppies La Grange
13:Walter Venter
14:Wigan Pekeur
15:Michael Killian
16:Charles Emslie
17:Heinke van der Merwe
18:Willem Stoltz
19:Robert Kruger
20:JP Joubert
21:Wandile Mjekevu
22:Earl Rose
Brumbies
1:Ben Alexander
2:Stephen Moore
3:Salesi Ma'afu
4:Ben Hand
5:Mitchell Chapman
6:Rocky Elsom
7:Michael Hooper
8:Stephen Hoiles
9:Josh Valentine
10:Matt Toomua
11:Francis Fainifo
12:Matt Giteau
13:Stirling Mortlock
14:Pat McCabe
15:Adam Ashley-Cooper
16:Huia Edmonds
17:Guy Shepherdson
18:Mark Chisholm
19:Colby Faingaa
20:Patrick Phibbs
21:Tyrone Smith
22:Julian Huxley
Chiefs
1:Sona Taumalolo
2:Aled de Malmanche
3:Ben Afeaki
4:Craig Clarke
5:Callum Retallick
6:Liam Messam
7:Tanerau Latimer
8:Sione Lauaki
9:Brendon Leonard
10:Stephen Donald
11:Sitiveni Sivivatu
12:Jackson Willison
13:Richard Kahui
14:Lelia Masaga
15:Mils Muliaina
16:Hikawera Elliot
17:Nathan White
18:Jarrad Hoeata
19:Luke Braid
20:Junior Poluleuligaga
21:Mike Delany
22:Tim Nanai-Williams
Cheetahs
1:Wian du Preez
2:Adriaan Strauss
3:WP Nel
4:Nico Breedt
5:Walti Vermeulen
6:Hendro Scholtz
7:Juan Smith
8:Ashley Johnson
9:Sarel Pretorius
10:Naas Olivier
11:Jongi Nokwe
12:Meyer Bosman
13:Robert Ebersohn
14:Danwel Demas
15:Riaan Viljoen
16:Skipper Badenhorst
17:Coenie Oosthuizen
18:Barend Pieterse
19:Kabamba Floors
20:Tewis de Bruyn
21:Corne Uys
22:Wilmaure Louw
Reds
1:Ben Daley
2:Saia Faingaa
3:Laurie Weeks
4:Rob Simmons
5:Van Humphries
6:Scott Higginbotham
7:Jake Schatz
8:Leroy Houston
9:Will Genia
10:Quade Cooper
11:Brando Vaalu
12:Anthony Faingaa
13:Digby Ioane
14:Luke Morahan
15:Peter Hynes
16:Sean Hardman
17:Greg Holmes
18:Adam Byrnes
19:Ezra Taylor
20:Ben Lucas
21:Will Chambers
22:Rod Davies
Waratahs
1:Benn Robinson
2:Tatafu Polota-Nau
3:Al Baxter
4:Dean Mumm
5:Kane Douglas
6:David Dennis
7:Phil Waugh
8:Wycliff Palu
9:Luke Burgess
10:Daniel Halangahu
11:Drew Mitchell
12:Berrick Barnes
13:Rob Horne
14:Lachlan Turner
15:Kurtley Beale
16:Damien Fitzpatrick
17:Sekope Kepu
18:Will Caldwell
19:Ben Mowen
20:Josh Holmes
21:Tom Carter
22:Sosene Anesi
Blues
1:Tony Woodcock
2:Keven Mealamu
3:John Afoa
4:Kurtis Haiu
5:Anthony Boric
6:Jerome Kaino
7:Serge Lilo
8:Viliame Maafu
9:Alby Mathewson
10:Stephen Brett
11:Rudi Wulf
12:Benson Stanley
13:Rene Ranger
14:Josevata Rokocoko
15:Isaia Toeava
16:Tom McCartney
17:Charlie Faumuina
18:Filo Paulo
